publisherID,iatiOrganisationID,name,gbSignatory,organisationType,iatiVersion,humData,humanitarianActivities,activities,202HumData,203HumData,traceability,monthly,frequency
aab,BD-NAB-0210,ActionAid Bangladesh,ActionAid,International NGO,2.03,True,7,9,True,True,True,False,Less than Annual
aadk,DK-CVR-18243717,ActionAid Denmark,ActionAid,International NGO,2.03,True,4,29,True,True,True,False,Six-Monthly
aag,GH-DSW-3064,ActionAid Ghana,ActionAid,National NGO,2.03,False,0,1,False,False,True,False,Less than Annual
aai,NL-KVK-27264198,ActionAid International,ActionAid,International NGO,2.03,False,0,1,False,False,True,False,Less than Annual
aaik,KE-NCB-OP/218/051/924/84,ActionAid International Kenya,ActionAid,International NGO,2.03,False,0,7,False,True,True,False,Less than Annual
aar,RW-RGB-61-RGB-NGO-2017,ActionAid Rwanda,ActionAid,National NGO,2.03,False,0,3,False,False,True,False,Less than Annual
aauk,GB-CHC-274467,ActionAid UK,ActionAid,International NGO,2.03,True,59,123,True,True,True,False,Quarterly
aics,XM-DAC-6-4,AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development,Italy,Government,2.03,True,636,3090,True,False,False,True,Monthly
,,Alliance for Empowering Partnership,Alliance for Empowering Partnership,Government,,False,0,0,False,False,False,False,
ausgov,AU-5,Australia - Department of Foreign Affairs and Trade (DFAT),Australia,Government,,False,0,0,False,False,False,False,Less than Annual
enabel,BE-BCE_KBO-0264814354,Belgian Development Agency,Belgium,Government,2.03,False,0,80,False,False,False,False,Annual
be-dgd,XM-DAC-2-10,Belgian Development Cooperation,Belgium,Government,2.03,True,94,661,True,False,False,True,Monthly
gb-chc-220949,GB-CHC-220949,British Red Cross,IFRC,International NGO,2.03,True,219,348,True,False,True,False,Six-Monthly
,,Bulgaria,Bulgaria,Government,,False,0,0,False,False,False,False,
gac-amc,CA-3,Canada - Global Affairs Canada | Affaires mondiales Canada,Canada,Government,2.03,True,2155,6539,True,False,False,False,Quarterly
carebenintogo,BJ-IFU-5201000673108,CARE BENIN / TOGO,Care International,International NGO,2.03,True,2,2,True,True,True,False,Annual
12921047,DK-CVR-12921047,CARE Danmark,Care International,National NGO,2.03,True,6,15,True,True,True,False,Quarterly
ciafg,AF-MOE-22,CARE International Afghanistan,Care International,International NGO,2.02,True,2,2,True,False,True,False,Less than Annual
cis,XM-OCHA-HPC8568,CARE International Foundation Switzerland in Sudan,Care International,International NGO,2.03,False,0,1,False,False,True,False,Less than Annual
ciz,ZW-PVO-15/2003,CARE International in Zimbabwe,Care International,National NGO,2.02,True,1,1,True,False,True,False,Less than Annual
ciuk,GB-CHC-292506,CARE International UK,Care International,International NGO,2.03,True,240,331,True,False,True,False,Quarterly
carenederland,NL-KVK-41158230,CARE Nederland,Care International,International NGO,2.03,True,56,98,True,False,True,False,Quarterly
cnepal,NP-IRD-302274734,CARE Nepal,Care International,International NGO,2.03,True,3,3,True,False,True,False,Less than Annual
csom1,KE-NCB-218/051/9384/74,CARE Somalia,Care International,International NGO,2.03,False,0,3,False,False,True,False,Quarterly
cafod,GB-CHC-285776,Catholic Agency for Overseas Development (CAFOD),CAFOD,International NGO,2.03,True,795,3383,False,False,True,False,Quarterly
crs,US-EIN-13-5563422,Catholic Relief Services (CRS),Catholic Relief Services,International NGO,2.03,True,8,15,True,False,True,False,Quarterly
caid,GB-CHC-1105851,Christian Aid,Christian Aid,International NGO,2.03,True,17,454,True,True,True,False,Quarterly
caid_ireland,IE-CHY-6998,Christian Aid Ireland,Christian Aid,International NGO,2.03,True,3,66,True,True,True,False,Annual
,,Czech Republic - Czech Development Agency,Czech Republic,Government,,False,0,0,False,False,False,False,
dca,DK-CVR-36980214,DanChurchAid,Danish Church Aid,International NGO,2.03,True,2,860,True,True,True,False,Six-Monthly
danida,XM-DAC-3-1,"Denmark - Ministry of Foreign Affairs, Danida",Denmark,Government,2.03,True,2365,18747,True,False,False,True,Monthly
dotw_uk,GB-CHC-1067406,Doctors Of The World UK,Médecins du Monde,International NGO,2.02,False,0,3,False,False,False,False,Less than Annual
drc,DK-CVR-20699310,Danish Refugee Council,Danish Refugee Council,International NGO,2.03,True,166,183,True,True,True,False,Quarterly
,,Estonia,Estonia,Government,,False,0,0,False,False,False,False,
ec-echo,XI-IATI-EC_ECHO,European Commission (EC) - DG Humanitarian Aid and Civil Protection (ECHO),European Commission - ECHO,Other Public Sector,2.03,True,7319,7319,True,False,True,True,Monthly
finland_mfa,FI-3,Finland - Ministry of Foreign Affairs,Finland,Government,2.03,True,1052,24782,False,True,False,False,Quarterly
fao,XM-DAC-41301,Food and Agriculture Organization of the United Nations (FAO),FAO,Multilateral,2.02,False,0,0,False,False,False,False,Less than Annual
france,FR-6,France - Ministry for Europe and Foreign Affairs,France,Government,2.01,True,154,2375,False,False,False,True,Monthly
fo_germany,XM-DAC-5-7,Germany - Federal Foreign Office (FFO),Germany,Government,2.03,True,1132,7299,True,False,False,False,Quarterly
bmz,DE-1,Germany - Federal Ministry for Economic Cooperation and Development (BMZ),Germany,Government,2.03,True,514,31679,False,False,True,False,Quarterly
,,Global Communities,Global Communities,International NGO,,False,0,0,False,False,False,False,
interaction,US-EIN-13-3287064,InterAction,Interaction,International NGO,2.03,True,12,41,True,False,False,False,Less than Annual
icrc,XM-DAC-21016,International Committee of the Red Cross (ICRC),ICRC,Multilateral,2.03,True,415,415,True,False,True,False,Quarterly
icva,CH-FDJP-CHE100871337,International Council of Voluntary Agencies (ICVA),ICVA,International NGO,2.03,True,1,1,True,False,False,False,Less than Annual
ifrcrcs,XM-DAC-21018,International Federation of Red Cross and Red Crescent Societies (IFRC),IFRC,Other,2.03,True,24192,24192,True,False,False,False,Quarterly
ilo,XM-DAC-41302,International Labor Organization (ILO),ILO,Multilateral,2.03,True,329,10175,True,True,True,False,Quarterly
iom,XM-DAC-47066,International Organization for Migration (IOM),IOM,Multilateral,2.03,True,2121,4588,True,True,True,False,Quarterly
irc_inc,US-EIN-13-5660870,International Rescue Committee (IRC),International Rescue Committee,International NGO,2.03,True,133,134,True,True,True,False,Quarterly
irc_uk,GB-CHC-1065972,International Rescue Committee (IRC) UK,International Rescue Committee,International NGO,2.03,True,115,116,True,False,True,False,Quarterly
irishaid,XM-DAC-21-1,Ireland - Department of Foreign Affairs & Trade (Irish Aid),Ireland,Government,2.03,True,1978,19478,False,False,True,False,Annual
